"Accession","Organism","Genome assembly","Donor sex","Donor age","File download url"
"GSM3244483","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3244nnn/GSM3244483/suppl/GSM3244483_CA12-DM1-AHR-macs2_peaks.bed.gz"
"GSM3244481","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3244nnn/GSM3244481/suppl/GSM3244481_CA12-3MC2-AHR-macs2_peaks.bed.gz"
"GSM3244480","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3244nnn/GSM3244480/suppl/GSM3244480_CA12-3MC1-AHR-macs2_peaks.bed.gz"
"GSM3147771","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3147nnn/GSM3147771/suppl/GSM3147771_H3K9me3_PHIPWT.broadPeak.bed.gz"
"GSM3147770","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3147nnn/GSM3147770/suppl/GSM3147770_H3K4me3_PHIPWT.broadPeak.bed.gz"
"GSM3147769","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3147nnn/GSM3147769/suppl/GSM3147769_Sample_CUL4A_CTL.sorted.bam.bb-W200-G600-FDR0.000010-island.bed.gz"
"GSM3147767","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3147nnn/GSM3147767/suppl/GSM3147767_U_FL_CDT2.bed.gz"
"GSM3147765","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3147nnn/GSM3147765/suppl/GSM3147765_116_KO_SKP2_bp.bed.gz"
"GSM3147763","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3147nnn/GSM3147763/suppl/GSM3147763_116_WT_SKP2_bp.bed.gz"
"GSM3112640","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3112nnn/GSM3112640/suppl/GSM3112640_H23_BRD2_DMSO_BR2_5e-5_slocal_peaks.unique.narrowPeak.bed.gz"
"GSM3112639","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3112nnn/GSM3112639/suppl/GSM3112639_H23_BRD2_DMSO_BR1_5e-5_slocal_peaks.unique.narrowPeak.bed.gz"
"GSM3112636","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3112nnn/GSM3112636/suppl/GSM3112636_H23_BRD2_JQ1_BR2_5e-5_slocal_peaks.unique.narrowPeak.bed.gz"
"GSM3112635","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3112nnn/GSM3112635/suppl/GSM3112635_H23_BRD2_JQ1_BR1_5e-5_slocal_peaks.unique.narrowPeak.bed.gz"
"GSM3071269","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071269/suppl/GSM3071269_GR_Dex_Peak_Classes.bed.gz"
"GSM3106437","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106437/suppl/GSM3106437_ENCFF635UZX_peaks_GRCh38.bed.gz"
"GSM3106435","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106435/suppl/GSM3106435_ENCFF018MQG_peaks_GRCh38.bed.gz"
"GSM3106434","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106434/suppl/GSM3106434_ENCFF770PNQ_peaks_GRCh38.bed.gz"
"GSM3106433","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106433/suppl/GSM3106433_ENCFF217OBW_peaks_GRCh38.bed.gz"
"GSM3106431","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106431/suppl/GSM3106431_ENCFF281ZBX_peaks_GRCh38.bed.gz"
"GSM3106429","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106429/suppl/GSM3106429_ENCFF608SDH_peaks_GRCh38.bed.gz"
"GSM3106427","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106427/suppl/GSM3106427_ENCFF139TWO_peaks_GRCh38.bed.gz"
"GSM3106426","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106426/suppl/GSM3106426_ENCFF979ASA_peaks_GRCh38.bed.gz"
"GSM3106425","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106425/suppl/GSM3106425_ENCFF692RRI_peaks_GRCh38.bed.gz"
"GSM3106423","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106423/suppl/GSM3106423_ENCFF059LCS_peaks_GRCh38.bed.gz"
